2019/03/01 14:56:08.163 [I]  Downloading blogs/built/assets/icons/mobile-phone-heart.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/mobile-phone-heart.svg
2019/03/01 14:56:08.165 [I]  Download blogs/built/assets/icons/computer.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/computer.svg success 0.60KB/s
2019/03/01 14:56:08.166 [I]  Downloading blogs/built/assets/icons/navigation.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/navigation.svg
2019/03/01 14:56:08.166 [I]  Download blogs/built/assets/icons/folder.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/folder.svg success 0.63KB/s
2019/03/01 14:56:08.166 [I]  Downloading blogs/built/assets/icons/network.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/network.svg
2019/03/01 14:56:08.168 [I]  Download blogs/built/assets/icons/arrow2-down.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/arrow2-down.svg success 0.40KB/s
2019/03/01 14:56:08.168 [I]  Download blogs/built/assets/icons/cycle.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/cycle.svg success 1.33KB/s
2019/03/01 14:56:08.169 [I]  Downloading blogs/built/assets/icons/paint-palette.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/paint-palette.svg
2019/03/01 14:56:08.169 [I]  Downloading blogs/built/assets/icons/news-article.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/news-article.svg
2019/03/01 14:56:08.169 [I]  Download blogs/built/assets/icons/facebook.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/facebook.svg success 0.41KB/s
2019/03/01 14:56:08.170 [I]  Downloading blogs/built/assets/icons/pen.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/pen.svg
2019/03/01 14:56:08.171 [I]  Download blogs/built/assets/icons/download-circle.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/download-circle.svg success 0.54KB/s
